20220917 10:55:27,855	c_1_2971_20220917_10_55_27,855.bmp	5,079053E-2	1,167002E-2	7,518835E-3	1,349272E-2	-6,786918E-3	-8,011703E-3	1,395599E+0	1,388463E+0
20220917 10:55:33,858	c_1_2972_20220917_10_55_33,858.bmp	1,029591E-1	3,586004E-2	6,245971E-3	1,094073E-2	-6,786918E-3	-3,624835E-4	1,387954E+0	1,388463E+0
20220917 10:55:39,859	c_1_2973_20220917_10_55_39,859.bmp	1,576724E-1	5,495743E-2	8,791700E-3	9,664739E-3	8,454256E-4	4,736996E-3	1,387954E+0	1,385905E+0
20220917 10:55:45,860	c_1_2974_20220917_10_55_45,860.bmp	2,149306E-1	7,150849E-2	1,006456E-2	1,349272E-2	-6,786918E-3	-8,011703E-3	1,398148E+0	1,396136E+0
20220917 10:55:51,861	c_1_2975_20220917_10_55_51,861.bmp	2,836404E-1	9,442535E-2	6,245971E-3	1,349272E-2	-1,187515E-2	-1,056144E-2	1,393051E+0	1,393578E+0
20220917 10:55:57,865	c_1_2976_20220917_10_55_57,865.bmp	3,548950E-1	1,173422E-1	3,700242E-3	1,094073E-2	-1,698689E-3	-8,011703E-3	1,387954E+0	1,388463E+0
20220917 10:56:03,869	c_1_2977_20220917_10_56_03,869.bmp	4,172427E-1	1,326201E-1	6,245971E-3	1,476871E-2	-1,696338E-2	-1,311118E-2	1,395599E+0	1,388463E+0
20220917 10:56:09,870	c_1_2978_20220917_10_56_09,870.bmp	4,795905E-1	1,542638E-1	8,791700E-3	1,349272E-2	-1,441926E-2	-3,605884E-2	1,398148E+0	1,396136E+0
20220917 10:56:15,871	c_1_2979_20220917_10_56_15,871.bmp	5,508451E-1	1,720880E-1	7,518835E-3	1,349272E-2	-6,786918E-3	-1,566092E-2	1,395599E+0	1,396136E+0
20220917 10:56:21,875	c_1_2980_20220917_10_56_21,875.bmp	6,131929E-1	1,924586E-1	8,791700E-3	1,349272E-2	-1,441926E-2	2,187256E-3	1,395599E+0	1,388463E+0
20220917 10:56:27,878	c_1_2981_20220917_10_56_27,878.bmp	6,819027E-1	2,153755E-1	7,518835E-3	1,094073E-2	-1,698689E-3	-1,056144E-2	1,387954E+0	1,396136E+0
20220917 10:56:33,879	c_1_2982_20220917_10_56_33,879.bmp	7,467952E-1	2,357460E-1	7,518835E-3	9,664739E-3	-9,331032E-3	-5,461963E-3	1,390502E+0	1,388463E+0
20220917 10:56:39,885	c_1_2983_20220917_10_56_39,885.bmp	8,104154E-1	2,561165E-1	6,245971E-3	1,094073E-2	-2,205160E-2	-5,461963E-3	1,387954E+0	1,388463E+0
20220917 10:56:45,888	c_1_2984_20220917_10_56_45,888.bmp	8,676736E-1	2,777602E-1	3,700242E-3	1,094073E-2	3,389540E-3	-5,461963E-3	1,385405E+0	1,388463E+0
20220917 10:56:51,890	c_1_2985_20220917_10_56_51,890.bmp	9,172973E-1	2,955845E-1	6,245971E-3	8,388745E-3	-6,786918E-3	4,736996E-3	1,387954E+0	1,383347E+0
20220917 10:56:57,893	c_1_2986_20220917_10_56_57,893.bmp	9,631038E-1	3,172282E-1	4,973106E-3	8,388745E-3	8,454256E-4	1,748570E-2	1,382857E+0	1,383347E+0
20220917 10:57:03,896	c_1_2987_20220917_10_57_03,896.bmp	9,974587E-1	3,350524E-1	1,006456E-2	1,094073E-2	-6,786918E-3	-8,011703E-3	1,390502E+0	1,385905E+0
20220917 10:57:09,900	c_1_2988_20220917_10_57_09,900.bmp	1,035631E+0	3,579693E-1	2,427377E-3	8,388745E-3	8,454256E-4	-5,461963E-3	1,385405E+0	1,383347E+0
20220917 10:57:15,903	c_1_2989_20220917_10_57_15,903.bmp	1,066169E+0	3,719740E-1	1,133743E-2	1,349272E-2	-6,786918E-3	-1,821066E-2	1,398148E+0	1,396136E+0
20220917 10:57:21,906	c_1_2990_20220917_10_57_21,906.bmp	1,097979E+0	3,936177E-1	6,245971E-3	1,349272E-2	-1,696338E-2	-1,821066E-2	1,395599E+0	1,388463E+0
20220917 10:57:27,906	c_1_2991_20220917_10_57_27,906.bmp	1,117065E+0	4,127151E-1	8,791700E-3	1,349272E-2	-1,441926E-2	-1,566092E-2	1,395599E+0	1,396136E+0
20220917 10:57:33,909	c_1_2992_20220917_10_57_33,909.bmp	1,131061E+0	4,394514E-1	7,518835E-3	8,388745E-3	-1,698689E-3	-3,624835E-4	1,385405E+0	1,383347E+0
20220917 10:57:39,912	c_1_2993_20220917_10_57_39,912.bmp	1,136151E+0	4,534562E-1	8,791700E-3	1,094073E-2	-2,459572E-2	-8,011703E-3	1,398148E+0	1,388463E+0
20220917 10:57:45,916	c_1_2994_20220917_10_57_45,916.bmp	1,141240E+0	4,750999E-1	6,245971E-3	1,094073E-2	-1,698689E-3	-5,461963E-3	1,390502E+0	1,388463E+0
20220917 10:57:51,919	c_1_2995_20220917_10_57_51,919.bmp	1,155237E+0	4,992899E-1	6,245971E-3	7,112750E-3	3,389540E-3	-2,912223E-3	1,385405E+0	1,383347E+0
20220917 10:57:57,923	c_1_2996_20220917_10_57_57,923.bmp	1,180685E+0	5,145678E-1	7,518835E-3	1,094073E-2	-9,331032E-3	-8,011703E-3	1,387954E+0	1,396136E+0
20220917 10:58:03,924	c_1_2997_20220917_10_58_03,924.bmp	1,209950E+0	5,336652E-1	8,791700E-3	1,094073E-2	-1,187515E-2	-2,912223E-3	1,395599E+0	1,388463E+0
20220917 10:58:09,927	c_1_2998_20220917_10_58_09,927.bmp	1,246850E+0	5,553089E-1	6,245971E-3	1,094073E-2	-4,242803E-3	-5,461963E-3	1,387954E+0	1,385905E+0
20220917 10:58:15,936	c_1_2999_20220917_10_58_15,936.bmp	1,271025E+0	5,782257E-1	7,518835E-3	8,388745E-3	1,102188E-2	2,187256E-3	1,382857E+0	1,388463E+0
20220917 10:58:21,940	c_1_3000_20220917_10_58_21,940.bmp	1,299018E+0	5,960500E-1	7,518835E-3	8,388745E-3	-6,786918E-3	7,286736E-3	1,387954E+0	1,383347E+0
20220917 10:58:27,942	c_1_3001_20220917_10_58_27,942.bmp	1,333373E+0	6,189668E-1	3,700242E-3	7,112750E-3	8,454256E-4	-2,912223E-3	1,385405E+0	1,383347E+0
20220917 10:58:33,943	c_1_3002_20220917_10_58_33,943.bmp	1,369001E+0	6,355179E-1	7,518835E-3	7,112750E-3	3,389540E-3	4,736996E-3	1,387954E+0	1,383347E+0
20220917 10:58:39,945	c_1_3003_20220917_10_58_39,945.bmp	1,405900E+0	6,533421E-1	1,006456E-2	1,349272E-2	-1,441926E-2	-8,011703E-3	1,395599E+0	1,396136E+0
20220917 10:58:45,950	c_1_3004_20220917_10_58_45,950.bmp	1,446617E+0	6,749858E-1	6,245971E-3	1,094073E-2	-6,786918E-3	-8,011703E-3	1,390502E+0	1,393578E+0
20220917 10:58:51,957	c_1_3005_20220917_10_58_51,957.bmp	1,487334E+0	6,979027E-1	3,700242E-3	7,112750E-3	1,102188E-2	-5,461963E-3	1,385405E+0	1,388463E+0
20220917 10:58:57,964	c_1_3006_20220917_10_58_57,964.bmp	1,528051E+0	7,144537E-1	6,245971E-3	1,349272E-2	-6,786918E-3	-8,011703E-3	1,390502E+0	1,393578E+0
